"","company","data_year","fuel_type","value"
"2563","KDDI Group",2010,"Diesel",137129.453708791
"2573","KDDI Group",2009,"Diesel",592459.849725275
"2582","China Unicom",2019,"Diesel",162693746.16
"2592","China Unicom",2018,"Diesel",95911160.4
"2602","China Unicom",2017,"Diesel",2901016580
"2614","China Unicom",2016,"Diesel",151563315.2
"2622","China Unicom",2015,"Diesel",240369945.2
"2632","China Unicom",2014,"Diesel",213135912
"2642","China Unicom",2013,"Diesel",288917569.6
"2652","China Unicom",2012,"Diesel",281813039.2
"2782","Digital Realty",2020,"Heat",152981000
"2792","Digital Realty",2019,"Other",147396000
"2802","Digital Realty",2018,"Heat",149500000
"23712","Fujitsu",2019,"Gasoline",65246980.6414832
"23812","Fujitsu",2018,"Gasoline",70054652.8992767
"23912","Fujitsu",2017,"Gasoline",81043618.0599476
"24012","Fujitsu",2016,"Gasoline",101110689.439462
"24112","Fujitsu",2015,"Gasoline",103021548.381289
"24212","Fujitsu",2014,"Gasoline",120191806.444837
"24312","Fujitsu",2013,"Gasoline",143543357.411263
"24412","Fujitsu",2012,"Gasoline",25069910.6692364
"24512","Fujitsu",2011,"Gasoline",27884499.0952023
"24612","Fujitsu",2010,"Gasoline",30013611.0950823
"24712","KDDI Group",2020,"Diesel",148048.33630137
"24812","KDDI Group",2019,"Diesel",12442.6854395604
"24912","KDDI Group",2018,"Diesel",12442.6854395604
"25012","KDDI Group",2017,"Diesel",14931.2225274725
"25112","KDDI Group",2016,"Diesel",55204.4643835616
"25212","KDDI Group",2015,"Diesel",37328.0563186813
"25312","KDDI Group",2014,"Diesel",14931.2225274725
"25412","KDDI Group",2013,"Diesel",141846.614010989
"25512","KDDI Group",2012,"Diesel",30111.5260273973
"25612","KDDI Group",2011,"Diesel",45042.5212912088
"25712","KDDI Group",2010,"Diesel",194603.600274725
"6814","Baidu",2020,"Diesel",7443155.0655
"7814","China Telecom",2020,"Diesel",203663204.8
"7914","China Telecom",2019,"Diesel",163404199.2
"8014","China Telecom",2018,"Diesel",204847293.2
"8114","China Telecom",2017,"Diesel",241554033.6
"1793","Huawei",2018,"Diesel",911748.068
"1803","Huawei",2017,"Diesel",3031266.304
"1816","Huawei",2016,"Diesel",1373542.544
"1823","Huawei",2015,"Diesel",485476.244
"1833","Huawei",2014,"Diesel",544680.664
"1843","Huawei",2013,"Diesel",710453.04
"1853","Huawei",2012,"Diesel",568362.432
"1863","JD",2020,"Diesel",542073700.04205
"1873","JPMorgan",2020,"Other",15052000
"1883","JPMorgan",2019,"Other",25317000
"1893","JPMorgan",2018,"Other",37143000
"1903","JPMorgan",2017,"Other",30645000
"1953","Microsoft",2019,"Gasoline",4.3e+07
"1963","Microsoft",2018,"Gasoline",43474000
"1973","Microsoft",2017,"Gasoline",44604000
"1983","Microsoft",2016,"Gasoline",46996000
